Draw Date,Winning Numbers,Multiplier
2023-10-16,02 27 31 44 64 18,3.0
2023-10-14,14 16 42 48 64 14,2.0
2023-10-11,22 24 40 52 64 10,2.0
2023-10-09,16 34 46 55 67 14,3.0
2023-10-07,47 54 57 60 65 19,3.0
2023-10-04,09 35 54 63 64 01,2.0
2023-10-02,12 26 27 43 47 05,2.0
2023-09-30,19 30 37 44 46 22,2.0
2023-09-27,01 07 46 47 63 07,3.0
2023-09-25,10 12 22 36 50 04,2.0
2023-09-23,01 12 20 33 66 21,2.0
2023-09-20,16 27 59 62 63 23,3.0
2023-09-18,02 21 26 40 42 09,3.0
2023-09-16,08 11 19 24 46 05,2.0
2023-09-13,22 30 37 44 45 18,3.0
2023-09-11,09 25 27 53 66 05,2.0
2023-09-09,11 19 29 63 68 25,2.0
2023-09-06,09 14 20 23 63 01,3.0
2023-09-04,01 26 32 46 51 13,3.0
2023-09-02,25 38 42 66 67 19,4.0
2023-08-30,04 13 35 61 69 04,2.0
2023-08-28,04 06 25 55 68 26,2.0
2023-08-26,20 22 26 28 63 05,3.0
2023-08-23,25 30 32 33 55 20,2.0
2023-08-21,03 04 12 22 28 16,2.0
2023-08-19,01 25 27 38 62 13,2.0
2023-08-16,09 11 17 19 55 01,2.0
2023-08-14,32 34 37 39 47 03,2.0
2023-08-12,19 21 37 50 65 26,2.0
2023-08-09,10 15 21 67 69 03,2.0
2023-08-07,06 13 20 35 54 22,2.0
2023-08-05,18 42 44 62 65 23,2.0
2023-08-02,23 24 33 51 64 05,2.0
2023-07-31,02 11 48 58 65 13,2.0
2023-07-29,10 25 27 34 38 02,3.0
2023-07-26,03 16 40 48 60 14,2.0
2023-07-24,03 04 12 28 49 25,2.0
2023-07-22,25 27 36 37 63 07,2.0
2023-07-19,07 10 11 13 24 24,2.0
2023-07-17,05 08 09 17 41 21,4.0
2023-07-15,02 09 43 55 57 18,2.0
2023-07-12,23 35 45 66 67 20,3.0
2023-07-10,02 24 34 53 58 13,2.0
2023-07-08,07 23 24 32 43 18,2.0
2023-07-05,17 24 48 62 68 23,2.0
2023-07-03,15 26 31 38 61 03,3.0
2023-07-01,04 17 35 49 61 08,2.0
2023-06-28,19 25 34 57 68 04,5.0
2023-06-26,06 28 39 43 54 12,4.0
2023-06-24,02 38 44 50 62 19,3.0
2023-06-21,05 11 33 35 63 14,2.0
2023-06-19,36 39 52 57 69 01,3.0
2023-06-17,02 12 45 61 64 26,2.0
2023-06-14,03 20 36 42 64 04,2.0
2023-06-12,02 03 16 23 68 07,2.0
2023-06-10,21 32 42 46 50 04,3.0
2023-06-07,16 21 29 53 66 02,5.0
2023-06-05,02 31 45 46 49 20,2.0
2023-06-03,15 45 64 67 68 18,2.0
2023-05-31,02 04 54 61 62 14,3.0
2023-05-29,21 33 35 62 64 24,2.0
2023-05-27,24 38 39 48 56 04,2.0
2023-05-24,12 21 44 50 58 26,3.0
2023-05-22,09 38 48 52 68 25,4.0
2023-05-20,17 23 32 38 63 23,2.0
2023-05-17,18 34 37 45 51 14,2.0
2023-05-15,01 26 28 55 58 25,2.0
2023-05-13,03 15 20 23 46 11,2.0
2023-05-10,21 24 33 55 69 03,10.0
2023-05-08,15 20 33 36 43 12,2.0
2023-05-06,31 39 47 51 53 06,2.0
2023-05-03,21 26 30 45 47 23,3.0
2023-05-01,03 38 55 61 66 01,3.0
2023-04-29,16 53 54 57 65 08,2.0
2023-04-26,02 15 30 35 49 06,2.0
2023-04-24,19 21 55 66 68 03,2.0
2023-04-22,17 36 47 63 68 25,2.0
2023-04-19,04 11 21 38 64 11,3.0
2023-04-17,23 25 35 63 64 25,3.0
2023-04-15,01 33 34 56 59 18,3.0
2023-04-12,09 36 41 44 59 04,2.0
2023-04-10,09 10 36 46 52 14,2.0
2023-04-08,11 22 24 51 60 18,3.0
2023-04-05,03 05 09 42 52 11,2.0
2023-04-03,16 30 31 54 68 01,2.0
2023-04-01,11 19 21 29 52 17,4.0
2023-03-29,04 09 24 46 66 07,3.0
2023-03-27,19 26 36 43 58 14,3.0
2023-03-25,15 17 18 47 57 19,2.0
2023-03-22,27 28 37 50 57 05,2.0
2023-03-20,01 27 32 47 67 14,2.0
2023-03-18,14 20 30 54 69 11,2.0
2023-03-15,16 18 33 37 50 08,2.0
2023-03-13,03 10 24 46 63 04,2.0
2023-03-11,11 20 33 43 58 24,2.0
2023-03-08,26 27 43 61 69 04,3.0
2023-03-06,02 13 29 58 69 04,3.0
2023-03-04,10 16 18 40 66 16,3.0
2023-03-01,02 09 28 36 53 04,2.0
2023-02-27,16 28 49 51 55 23,2.0
2023-02-25,11 24 58 66 67 26,3.0
2023-02-22,11 19 39 44 65 07,2.0
2023-02-20,03 17 26 38 54 15,3.0
2023-02-18,08 21 31 32 37 23,4.0
2023-02-15,31 32 54 60 63 12,4.0
2023-02-13,17 26 37 61 65 02,2.0
2023-02-11,10 23 30 54 65 11,4.0
2023-02-08,52 58 59 64 66 09,2.0
2023-02-06,05 11 22 23 69 07,2.0
2023-02-04,02 08 15 19 58 10,2.0
2023-02-01,31 43 58 59 66 09,2.0
2023-01-30,01 04 12 36 49 05,2.0
2023-01-28,02 18 23 27 47 15,4.0
2023-01-25,09 17 20 38 40 18,2.0
2023-01-23,12 31 47 58 60 23,3.0
2023-01-21,05 14 19 46 64 22,4.0
2023-01-18,06 15 22 42 47 26,3.0
2023-01-16,04 14 33 39 61 03,3.0
2023-01-14,24 26 39 47 57 23,2.0
2023-01-11,04 08 46 47 48 05,3.0
2023-01-09,18 43 48 60 69 14,3.0
2023-01-07,35 36 44 45 67 14,3.0
2023-01-04,12 32 56 67 68 26,3.0
2023-01-02,07 09 12 31 62 22,2.0
2022-12-31,18 37 44 50 64 11,3.0
2022-12-28,26 32 38 45 56 01,2.0
2022-12-26,17 41 47 60 61 17,3.0
2022-12-24,17 37 46 54 67 08,3.0
2022-12-21,12 15 24 34 59 14,2.0
2022-12-19,07 37 55 65 67 12,5.0
2022-12-17,33 56 64 66 68 12,2.0
2022-12-14,36 51 59 66 68 25,10.0
2022-12-12,16 31 50 55 61 09,4.0
2022-12-10,09 23 47 49 68 19,2.0
2022-12-07,06 28 44 59 61 21,2.0
2022-12-05,35 45 47 54 55 14,2.0
2022-12-03,06 13 33 36 37 07,4.0
2022-11-30,04 19 24 47 66 10,2.0
2022-11-28,29 30 32 48 50 20,2.0
2022-11-26,15 30 47 50 51 03,10.0
2022-11-23,01 02 31 39 66 25,2.0
2022-11-21,01 06 40 51 67 02,2.0
2022-11-19,07 28 62 63 64 10,3.0
2022-11-16,28 34 51 53 56 11,2.0
2022-11-14,19 35 53 54 67 21,2.0
2022-11-12,16 20 44 57 58 06,4.0
2022-11-09,07 14 24 30 56 07,2.0
2022-11-05,28 45 53 56 69 20,3.0
2022-11-02,02 11 22 35 60 23,2.0
2022-10-31,13 19 36 39 59 13,3.0
2022-10-29,19 31 40 46 57 23,3.0
2022-10-26,19 36 37 46 56 24,2.0
2022-10-24,18 23 35 45 54 16,4.0
2022-10-22,19 25 48 55 60 18,2.0
2022-10-19,06 08 15 27 42 10,3.0
2022-10-17,19 30 36 46 60 25,3.0
2022-10-15,32 37 40 58 62 15,5.0
2022-10-12,14 30 41 42 59 06,5.0
2022-10-10,03 06 11 17 22 11,2.0
2022-10-08,13 43 53 60 68 05,2.0
2022-10-05,26 30 33 37 62 06,2.0
2022-10-03,02 16 22 55 63 22,4.0
2022-10-01,08 21 22 65 69 26,2.0
2022-09-28,06 10 24 33 67 11,3.0
2022-09-26,13 20 31 33 59 20,3.0
2022-09-24,03 09 21 24 29 14,2.0
2022-09-21,06 33 34 45 54 07,2.0
2022-09-19,07 15 36 46 67 07,2.0
2022-09-17,05 25 36 51 61 01,3.0
2022-09-14,09 10 20 22 52 25,3.0
2022-09-12,06 14 16 34 66 25,3.0
2022-09-10,38 42 56 68 69 04,2.0
2022-09-07,03 16 30 33 36 20,3.0
2022-09-05,04 07 32 55 64 25,2.0
2022-09-03,18 27 49 65 69 09,2.0
2022-08-31,07 08 19 24 28 01,2.0
2022-08-29,13 36 43 61 69 18,3.0
2022-08-27,02 18 56 60 65 14,3.0
2022-08-24,06 24 35 37 44 22,4.0
2022-08-22,12 27 34 55 67 09,2.0
2022-08-20,05 09 11 16 66 07,2.0
2022-08-17,23 28 41 50 55 24,2.0
2022-08-15,20 24 47 50 63 05,2.0
2022-08-13,19 24 35 43 62 02,10.0
2022-08-10,29 44 59 61 68 19,2.0
2022-08-08,32 45 51 57 58 12,2.0
2022-08-06,08 15 46 56 68 03,2.0
2022-08-03,09 21 56 57 66 11,2.0
2022-08-01,15 21 31 36 65 16,3.0
2022-07-30,04 17 57 58 68 12,3.0
2022-07-27,01 25 44 55 57 26,2.0
2022-07-25,25 37 38 39 65 05,2.0
2022-07-23,39 41 54 59 62 12,3.0
2022-07-20,10 20 23 49 65 22,3.0
2022-07-18,14 34 36 50 58 05,3.0
2022-07-16,03 18 23 32 57 21,2.0
2022-07-13,22 23 36 47 63 02,2.0
2022-07-11,04 26 34 37 52 09,2.0
2022-07-09,14 22 42 46 52 24,3.0
2022-07-06,32 36 49 62 69 13,2.0
2022-07-04,15 16 24 31 56 04,2.0
2022-07-02,09 10 37 59 62 26,3.0
2022-06-29,08 40 49 58 63 14,3.0
2022-06-27,11 13 18 30 37 16,3.0
2022-06-25,06 12 20 27 32 04,3.0
2022-06-22,06 10 31 48 56 12,3.0
2022-06-20,03 44 61 63 69 13,2.0
2022-06-18,10 19 40 45 58 25,2.0
2022-06-15,19 28 41 42 51 07,2.0
2022-06-13,02 27 42 44 51 25,2.0
2022-06-11,18 20 26 53 69 05,2.0
2022-06-08,22 39 43 62 64 07,4.0
2022-06-06,02 10 35 44 46 04,2.0
2022-06-04,14 16 36 52 60 16,3.0
2022-06-01,11 41 56 57 63 02,2.0
2022-05-30,27 28 51 68 69 22,2.0
2022-05-28,02 39 50 61 66 15,2.0
2022-05-25,19 28 39 42 57 17,3.0
2022-05-23,01 33 37 39 42 26,2.0
2022-05-21,14 15 25 52 58 11,2.0
2022-05-18,40 41 58 64 65 17,3.0
2022-05-16,07 15 22 36 64 13,2.0
2022-05-14,06 40 41 45 52 09,3.0
2022-05-11,05 07 61 63 69 18,2.0
2022-05-09,18 30 35 52 56 05,2.0
2022-05-07,04 05 06 28 67 10,2.0
2022-05-04,37 39 55 63 69 23,2.0
2022-05-02,18 27 33 39 44 08,5.0
2022-04-30,14 21 37 44 63 01,3.0
2022-04-27,11 36 61 62 68 04,2.0
2022-04-25,12 18 20 39 61 10,2.0
2022-04-23,10 39 47 49 56 08,3.0
2022-04-20,20 30 45 55 56 14,2.0
2022-04-18,08 33 55 59 62 18,2.0
2022-04-16,15 21 32 62 65 26,5.0
2022-04-13,14 16 41 63 68 26,2.0
2022-04-11,05 07 24 31 34 04,2.0
2022-04-06,06 42 45 47 64 18,3.0
2022-04-04,02 32 39 46 69 06,2.0
2022-04-02,06 28 47 58 59 18,2.0
2022-03-30,03 07 21 31 37 11,3.0
2022-03-28,11 18 39 58 62 03,2.0
2022-03-26,02 10 50 59 61 06,3.0
2022-03-23,31 32 37 38 48 24,2.0
2022-03-21,01 15 26 63 65 16,2.0
2022-03-19,08 09 18 48 52 06,2.0
2022-03-16,03 28 34 35 58 17,2.0
2022-03-14,21 28 32 44 49 06,3.0
2022-03-09,13 22 34 51 67 10,2.0
2022-03-07,10 43 55 59 67 02,3.0
2022-03-05,08 23 37 52 63 13,2.0
2022-03-02,19 37 48 61 63 12,2.0
2022-02-28,07 21 39 47 55 19,2.0
2022-02-26,15 32 36 48 64 19,3.0
2022-02-23,06 17 21 35 64 18,2.0
2022-02-21,02 36 37 45 69 03,2.0
2022-02-19,03 10 15 33 42 11,2.0
2022-02-16,22 30 40 42 48 16,2.0
2022-02-14,16 25 27 49 55 17,3.0
2022-02-12,08 10 21 41 62 07,3.0
2022-02-09,02 17 33 51 63 26,2.0
2022-02-07,05 15 38 47 65 10,3.0
2022-02-05,05 16 27 39 61 24,2.0
2022-02-02,18 29 33 62 63 15,3.0
2022-01-31,10 15 51 61 69 14,3.0
2022-01-29,02 15 38 54 65 11,4.0
2022-01-26,04 11 38 49 69 16,3.0
2022-01-24,11 29 30 47 53 16,3.0
2022-01-22,08 14 33 36 67 17,2.0
2022-01-19,11 15 43 55 61 10,3.0
2022-01-17,09 24 35 46 65 22,2.0
2022-01-15,03 18 37 51 59 13,2.0
2022-01-12,12 21 22 30 33 24,4.0
2022-01-10,14 17 18 21 27 09,2.0
2022-01-08,20 21 36 60 65 13,10.0
2022-01-05,06 14 25 33 46 17,2.0
2022-01-03,02 13 32 33 48 22,2.0
2022-01-01,06 12 39 48 50 07,2.0
2021-12-29,02 06 09 33 39 11,2.0
2021-12-27,36 38 45 62 64 19,2.0
2021-12-25,27 29 45 55 58 02,3.0
2021-12-22,07 16 19 48 68 15,2.0
2021-12-20,02 13 23 34 66 02,4.0
2021-12-18,02 06 24 51 61 01,2.0
2021-12-15,19 20 40 42 59 15,3.0
2021-12-13,10 30 37 53 59 04,2.0
2021-12-11,03 25 44 53 64 10,2.0
2021-12-08,03 07 33 50 69 24,2.0
2021-12-06,03 21 38 50 59 06,3.0
2021-12-04,10 40 45 56 67 02,2.0
2021-12-01,12 15 38 57 63 24,2.0
2021-11-29,18 26 28 38 47 17,2.0
2021-11-27,08 32 55 64 66 10,2.0
2021-11-24,10 16 32 63 65 17,2.0
2021-11-22,07 20 29 38 67 22,2.0
2021-11-20,40 43 48 59 69 19,3.0
2021-11-17,03 16 48 52 60 01,3.0
2021-11-15,05 31 34 51 53 23,2.0
2021-11-13,08 15 26 35 45 09,3.0
2021-11-10,19 25 43 46 48 14,2.0
2021-11-08,21 46 47 57 62 08,3.0
2021-11-06,08 30 48 57 64 09,2.0
2021-11-03,01 02 24 50 57 26,2.0
2021-11-01,09 25 34 44 45 08,3.0
2021-10-30,05 23 28 43 56 19,2.0
2021-10-27,03 06 26 35 51 17,4.0
2021-10-25,10 27 29 44 58 24,2.0
2021-10-23,10 30 51 57 63 20,2.0
2021-10-20,07 29 36 41 43 05,2.0
2021-10-18,30 32 48 53 63 12,2.0
2021-10-16,30 31 41 42 48 03,3.0
2021-10-13,23 29 47 59 60 15,2.0
2021-10-11,11 20 33 39 65 24,3.0
2021-10-09,12 17 30 45 62 05,2.0
2021-10-06,01 17 52 58 64 01,10.0
2021-10-04,12 22 54 66 69 15,2.0
2021-10-02,28 38 42 47 52 01,2.0
2021-09-29,02 07 11 17 32 11,3.0
2021-09-27,21 22 39 44 60 12,2.0
2021-09-25,22 23 37 62 63 19,3.0
